id,name,brand,note,default_unit,serving_size_g,kcal_per_100g,carbs_per_100g,fat_per_100g,protein_per_100g,sugars_per_100g,fiber_per_100g,salt_per_100g
food-bagett-tesco,bagett,Tesco,Korábbi importból átvett címkeérték; 1 szelet/porció tetszés szerint mérendő.,g,50,241,50,0.9,7.2,0,0,0
food-barackos-parna-penny,barackos párna,Penny,Korábbi importból átvett péksütemény érték; darabonként érdemes mérni.,g,25,355,51.4,13.5,6.1,0,0,0
food-hotdog-kifli-pantastico-1db-625g,hotdog kifli Pantastico! (1 db = 62.5 g),Pantastico!,1 db kifli becsült adagja 62.5 g a csomag alapján.,g,62.5,271,49,3.6,8.6,5.9,0,0
food-sonka-geppel-szeletelt-ismeretlen-becsult-cimke-alapjan-frissitendo,sonka géppel szeletelt,"ismeretlen, becsült","Becsült címkeérték, pontos márkával később frissítendő.",g,,110,1.5,3,18,1,0,0
food-savanyu-uborka-ismeretlen-becsult,savanyú uborka,"ismeretlen, becsült",Átlagos savanyúság becslés; sótartalom márkánként nagyon eltérhet.,g,25,12,2.3,0.1,0.5,1.1,1.2,0
food-rantott-hus-csirke-olaj-hazi-csirke-normal-panir-olajban-sult-becsult,rántott hús csirke olaj,"házi, csirke","Normál panír, olajban sült, házi becslés.",g,,265,13.5,13,23,1,0.8,0
food-rantott-hus-csirke-levegosutes-hazi-csirke-normal-panir-levegosutes-becsult,rántott hús csirke levegősütés,"házi, csirke","Normál panír, levegősütés, házi becslés.",g,,220,13.5,6.5,26,1,0.8,0
food-rantott-hus-sertes-olaj-hazi-sertes-normal-panir-olajban-sult-becsult,rántott hús sertés olaj,"házi, sertés","Normál panír, olajban sült, házi becslés.",g,,320,13.5,21,19,1,0.8,0
food-rantott-hus-sertes-levegosutes-hazi-sertes-normal-panir-levegosutes-becsult,rántott hús sertés levegősütés,"házi, sertés","Normál panír, levegősütés, házi becslés.",g,,270,13.5,13.5,24,1,0.8,0
food-rizs-feher-fott-hazi-fott-feher-rizs-borso-kukorica-nelkul-becsult,rizs fehér főtt,házi,"Főtt fehér rizs, borsó-kukorica nélkül, átlagos becslés.",g,,130,28.2,0.3,2.7,0.1,0.4,0
food-sajtos-pogacsa-penny,sajtos pogácsa,Penny,Korábbi importból átvett péksütemény érték.,g,10,377,35,22,9.6,1.2,2.1,0
